area,baths,beds,latitude,link,longitude,others,postdate,postid,price,title
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-views-1bd-on-michigan/6823462881.html,-87.624485,,Feb 26,6823462881,$1795,"Amazing Views! 1BD on Michigan Ave | Pool, Gym, Doorman, Rooftop"
,1Ba,1BR,41.961932,https://chicago.craigslist.org/chc/apa/d/chicago-1-bedroom-1-bath-in-buena-park/6806169727.html,-87.652655,,Feb 26,6806169727,$1600,1 Bedroom / 1 Bath in Buena Park ~ Amazing Kitchen ~ Pool ~ Hardwood
,2Ba,3BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-3bd-2ba-on-michigan/6817740909.html,-87.624485,,Feb 26,6817740909,$3425,"Gorgeous 3BD/2BA on Michigan Ave-Doorman, Indoor Pool, 24/7 Gym"
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-lovely-michigan-ave-studio/6813727413.html,-87.624485,,Feb 26,6813727413,$1655,Lovely Michigan Ave Studio | Immediate Move-in | In-unit W/D
,2Ba,2BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-most-popular-two-bedroom-layout/6817951566.html,-87.624485,,Feb 26,6817951566,$2695,Most Popular Two Bedroom Layout Available for July on Michigan Ave!
,0Ba,1BR,41.883232,https://chicago.craigslist.org/chc/apa/d/west-loop-convertible-hardwood/6824845459.html,-87.644153,,Feb 26,6824845459,$2066,WEST LOOP CONVERTIBLE ~ HARDWOOD THROUGHOUT ~ W/D ~ POOL
,1Ba,0BR,41.869233,https://chicago.craigslist.org/chc/apa/d/chicago-south-loop-studio-on-michigan/6806170593.html,-87.624151,,Feb 26,6806170593,$1590,South Loop Studio on Michigan Ave ~ Gym ~ Pool
,2Ba,2BR,41.961932,https://chicago.craigslist.org/chc/apa/d/chicago-2-bedroom-2-bath-pool-granite/6824852105.html,-87.652655,,Feb 26,6824852105,$2230,2 Bedroom / 2 Bath ~ Pool ~ Granite ~ Lakeview
1000,1Ba,2BR,41.926748,https://chicago.craigslist.org/chc/apa/d/chicago-logan-square-2-bed-1-bath-heat/6825236404.html,-87.692787,"available apr 1,cats are OK - purrr,dogs are OK - wooof,apartment,laundry in bldg,no smoking,street parking",Feb 26,6825236404,$1495,"Logan Square 2 bed/1 bath, heat included"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-rare-vacancy-in-this-spacious/6806181698.html,-87.624485,,Feb 26,6806181698,$1795,RARE VACANCY in this spacious apartment! 1BD/1BA available
,0Ba,1BR,41.951532,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-jr-1-bedroom-hardwood/6824853115.html,-87.649755,,Feb 26,6824853115,$1750,Lakeview Jr 1 Bedroom ~ Hardwood ~ W/D ~ Wrigleyville
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-one-bedroom-on-michigan-ave-gym/6806160831.html,-87.624485,,Feb 26,6806160831,$1795,"One Bedroom on Michigan Ave - 24/7 Gym, Pool, Doorman, Pet-Friendly"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-downtown-stunning-1-bedroom/6806166198.html,-87.624485,,Feb 26,6806166198,$1795,Downtown Stunning 1 Bedroom Available Soon! Apply today!
1300,1Ba,2BR,41.958446,https://chicago.craigslist.org/chc/apa/d/chicago-outstanding-top-floor-2-bed-1/6822561894.html,-87.756275,"available mar 1,cats are OK - purrr,dogs are OK - wooof,apartment,laundry in bldg,no smoking,detached garage",Feb 26,6822561894,$1495,"Outstanding top floor 2 bed/1 bath, balcony, garage, fee laundry"
,0Ba,2BR,41.895132,https://chicago.craigslist.org/chc/apa/d/chicago-exposed-brick-2-bedroom-loft-in/6806171349.html,-87.651253,,Feb 26,6806171349,$2450,EXPOSED BRICK 2 BEDROOM LOFT IN RIVER WEST ~ HEAT AND A/C INCLUDED
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-luxury-and-location-one-bedroom/6805853808.html,-87.624485,,Feb 26,6805853808,$1795,Luxury and Location! One Bedroom/One Bath on Michigan Ave
375,1Ba,1BR,41.958695,https://chicago.craigslist.org/chc/apa/d/chicago-no-security-deposit-bus-at-door/6818743653.html,-87.652130,apartment,Feb 26,6818743653,$920,"No security deposit, Bus at door, Air conditioning available"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-one-bedroom-on-michigan-ave-gym/6805861752.html,-87.624485,,Feb 26,6805861752,$1795,"One Bedroom on Michigan Ave - 24/7 Gym, Pool, Doorman, Pet-Friendly"
,2Ba,1BR,41.886832,https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-1-bedroom-plus-den-2/6806172295.html,-87.644317,,Feb 26,6806172295,$2450,West Loop 1 Bedroom plus Den / 2 Bath ~ Hardwood ~ W/D ~ Balcony
1100,1Ba,2BR,41.950121,https://chicago.craigslist.org/chc/apa/d/chicago-wrigleyville-2-bed-1-bath-condo/6813473118.html,-87.657762,"available mar 1,cats are OK - purrr,dogs are OK - wooof,condo,w/d in unit,no smoking,off-street parking",Feb 26,6813473118,$1695,Wrigleyville 2 bed/1 bath condo w/ gated parking
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-magnificent-one-bedroom-on/6806178525.html,-87.624485,,Feb 26,6806178525,$1795,Magnificent One Bedroom on Michigan Ave! Available April 1st!
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-1-bedroom-1-bath-on/6819177376.html,-87.624485,,Feb 26,6819177376,$1795,"Spacious 1 Bedroom/1 Bath on Michigan Ave - Doorman, Gym, Pool"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-michigan-ave-gorgeous-one/6819185500.html,-87.624485,,Feb 26,6819185500,$1795,Michigan Ave Gorgeous One Bedroom - you only pay electric!
,2Ba,1BR,41.886832,https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-1-bedroom-plus-den-2/6806173076.html,-87.644317,,Feb 26,6806173076,$2450,West Loop 1 Bedroom plus Den / 2 Bath ~ Hardwood ~ W/D ~ Balcony
1920,3Ba,3BR,41.897416,https://chicago.craigslist.org/chc/apa/d/chicago-24-hour-concierge-service-chefs/6828531676.html,-87.632447,"available mar 27,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,no smoking,attached garage",Feb 26,6828531676,$4779,"24-Hour Concierge Service, Chef's Kitchen, Spacious Floor Plans"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-avail-soon-1bd-1ba-michigan-ave/6805857864.html,-87.624485,,Feb 26,6805857864,$1795,"AVAIL SOON! 1bd/1ba Michigan Ave, Indoor Pool, Gym, Beautiful View"
1200,1Ba,3BR,41.926558,https://chicago.craigslist.org/chc/apa/d/chicago-rehabbed-logan-square-3-bed-1/6805299933.html,-87.723105,"available mar 1,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,no smoking,detached garage",Feb 26,6805299933,$1595,"Rehabbed Logan Square 3 Bed/1 bath w/ a/c, In-Unit Laundry!"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-available-soon-1bd-michigan-ave/6805869549.html,-87.624485,,Feb 26,6805869549,$1795,"AVAILABLE SOON! 1BD Michigan Ave, Indoor Pool, Gym, Beautiful View"
,1Ba,1BR,41.842600,https://chicago.craigslist.org/chc/apa/d/chicago-south-loop-luxury/6828531739.html,-87.630600,,Feb 26,6828531739,$1725,South Loop Luxury
,1Ba,1BR,41.888831,https://chicago.craigslist.org/chc/apa/d/oak-park-spectacular-1-bedroom-in/6806177607.html,-87.800158,,Feb 26,6806177607,$1902,Spectacular 1 Bedroom in Downtown Oak Park near Green Line ~ W/D ~ Gym
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-magnificent-one-bedroom-on/6805865975.html,-87.624485,,Feb 26,6805865975,$1795,Magnificent One Bedroom on Michigan Ave! Available Soon!
,2Ba,2BR,41.886832,https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-2-bedroom-2-bath/6806178395.html,-87.644317,,Feb 26,6806178395,$3050,West Loop 2 Bedroom / 2 Bath ~ Hardwood ~ W/D ~ Balcony
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-studio-on-michigan-ave/6812106922.html,-87.624485,,Feb 26,6812106922,$1655,"Amazing Studio on Michigan Ave -Stainless Steel, In-unit Washer/Dryer"
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-one-of-kind-studio-on-michigan/6823041995.html,-87.624485,,Feb 26,6823041995,$1655,One of a Kind Studio on Michigan Ave with In-unit Washer/Dryer
,1Ba,0BR,41.890785,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-river-north-studio/6806180444.html,-87.637150,,Feb 26,6806180444,$1520,Amazing River North Studio
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-michigan-ave-studio/6823116938.html,-87.624485,,Feb 26,6823116938,$1655,Gorgeous Michigan Ave Studio - Complimentary Internet & DirecTV!
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-bright-studio-on/6823121074.html,-87.624485,,Feb 26,6823121074,$1695,"Spacious Bright Studio on Michigan and Randolph - Gym, Pool, Doorman"
,1Ba,1BR,41.894732,https://chicago.craigslist.org/chc/apa/d/chicago-luxury-1-bedroom-in-river-north/6806179333.html,-87.641553,,Feb 26,6806179333,$2493,Luxury 1 Bedroom in River North ~ Hardwood ~ W/D
,2Ba,3BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-michigan-ave-3-bedroom/6823125399.html,-87.624485,,Feb 26,6823125399,$3425,"Stunning Michigan Ave 3 Bedroom/2 Bath | Pool, 24/7 Gym, Sundeck"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-1-bedoom-1-bath-on/6823131175.html,-87.624485,,Feb 26,6823131175,$1795,"GORGEOUS 1 BEDOOM/1 BATH ON MICHIGAN AVE! POOL, GYM, DOORMAN"
,0Ba,1BR,41.896685,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-1-bedroom-den-with/6806199781.html,-87.626972,,Feb 26,6806199781,$2845,River North 1 Bedroom Den with W/D ~ Balcony ~ Gold Coast
,1Ba,1BR,41.903932,https://chicago.craigslist.org/chc/apa/d/chicago-one-bed-apartment-spacious-and/6828532272.html,-87.633053,,Feb 26,6828532272,$1733,One Bed Apartment - Spacious and Spectacular Apt in  Gold Coast
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-goregous-michigan-ave-studio/6813049881.html,-87.624485,,Feb 26,6813049881,$1655,"Goregous Michigan Ave Studio Available Now! Doorman, Gym, Indoor Pool"
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-goregous-michigan-ave-studio/6806646862.html,-87.624485,,Feb 26,6806646862,$1695,"Goregous Michigan Ave Studio! Doorman, Gym, Indoor Pool"
,1Ba,0BR,41.885135,https://chicago.craigslist.org/chc/apa/d/studio-in-the-west-loop-d-pool/6806200341.html,-87.647465,,Feb 26,6806200341,$1835,Studio in the West Loop ~ W/D ~ Pool
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-must-see-amazing-spacious/6806880771.html,-87.624485,,Feb 26,6806880771,$1695,"A Must See! Amazing Spacious Studio on Michigan Ave! Gym, Rooftop"
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-must-see-amazing-spacious/6813064277.html,-87.624485,,Feb 26,6813064277,$1655,"A Must See! Amazing Spacious Studio on Michigan Ave! Gym, Rooftop"
,1Ba,1BR,41.896685,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-1-bedroom-with-d/6806201292.html,-87.626972,,Feb 26,6806201292,$2645,River North 1 Bedroom with W/D ~ Balcony ~ Gold Coast
290,1Ba,0BR,41.990431,https://chicago.craigslist.org/chc/apa/d/chicago-edgwater-great-studio-by-the/6828532531.html,-87.657156,"cats are OK - purrr,dogs are OK - wooof,laundry in bldg,street parking",Feb 26,6828532531,$950,Edgwater - Great Studio  by the lake on Kenmore
,1Ba,1BR,41.897100,https://chicago.craigslist.org/chc/apa/d/streeterville-lovely-one-bedroom/6807455620.html,-87.622300,,Feb 26,6807455620,$1700,Streeterville - Lovely One Bedroom
,2Ba,2BR,41.936432,https://chicago.craigslist.org/chc/apa/d/chicago-lovely-2bed-2bath-a-balcony-hwd/6828532549.html,-87.649354,,Feb 26,6828532549,$1700,LOVELY 2BED 2BATH W/ A BALCONY ^HWD FLOORS ^GREAT CLOSET SPACE
,1Ba,0BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-must-see-amazing-spacious/6813053440.html,-87.624485,,Feb 26,6813053440,$1695,"A Must See! Amazing Spacious Studio on Michigan Ave! Gym, Rooftop"
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-michigan-ave-1-bedroom/6806891904.html,-87.624485,,Feb 26,6806891904,$1795,"Stunning Michigan Ave 1 Bedroom/1 Bath | Pool, 24/7 Gym, Sundeck"
,1Ba,1BR,41.897100,https://chicago.craigslist.org/chc/apa/d/streeterville-lovely-one-bedroom/6807455246.html,-87.622300,,Feb 26,6807455246,$1700,Streeterville - Lovely One Bedroom
290,1Ba,0BR,41.990431,https://chicago.craigslist.org/chc/apa/d/chicago-rehabbed-edgewater-studio-steps/6828532674.html,-87.657156,"cats are OK - purrr,dogs are OK - wooof,laundry in bldg,street parking",Feb 26,6828532674,$950,Rehabbed Edgewater Studio steps from the Lake  EL! SS Appliances!
696,1Ba,0BR,41.897622,https://chicago.craigslist.org/chc/apa/d/cut-your-commute/6815325700.html,-87.631428,"available dec 12, 2018,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,no smoking,attached garage,wheelchair accessible",Feb 26,6815325700,$2415,Cut your commute!
1133,2Ba,2BR,41.897622,https://chicago.craigslist.org/chc/apa/d/chicago-corner-two-bed-with-terrace/6814030742.html,-87.631428,"available feb 8,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,no smoking,detached garage,wheelchair accessible",Feb 26,6814030742,$3650,Corner two bed with terrace
,1Ba,1BR,41.885135,https://chicago.craigslist.org/chc/apa/d/1-bedroom-1-bath-in-west-loop-d-pool/6806207661.html,-87.647465,,Feb 26,6806207661,$2511,1 Bedroom / 1 Bath in West Loop ~ W/D ~ Pool
1144,2Ba,2BR,41.897622,https://chicago.craigslist.org/chc/apa/d/chicago-sunny-two-bedroom-with-terrace/6814026389.html,-87.631428,"available feb 7,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,no smoking,attached garage,wheelchair accessible",Feb 26,6814026389,$3860,Sunny two bedroom with a terrace
,1Ba,1BR,41.961949,https://chicago.craigslist.org/chc/apa/d/chicago-super-clean-1br-is-beautiful/6828532923.html,-87.650321,,Feb 26,6828532923,$1050,Super clean 1br is beautiful vintage building. Buena Park. Heat Includ
,1Ba,1BR,41.886932,https://chicago.craigslist.org/chc/apa/d/chicago-lakeshore-east-jr-1-bed-gr-ss-d/6828494161.html,-87.620552,,Feb 26,6828494161,$2370,"LAKESHORE EAST JR 1 BED - GR, SS, W/D, VIEWS, IN/OUT POOL, GYM, TRACK"
,1Ba,1BR,41.897932,https://chicago.craigslist.org/chc/apa/d/chicago-one-bed-apt-in-the-middle-of/6821528827.html,-87.631452,,Feb 26,6821528827,$1766,One Bed Apt -in the Middle of the Gold Coast and River North
,1Ba,1BR,41.897932,https://chicago.craigslist.org/chc/apa/d/chicago-luxury-1-bedroom-apartment-in/6806661148.html,-87.631452,,Feb 26,6806661148,$1624,Luxury 1 Bedroom Apartment in Chicago's Concrete Playground
,1Ba,2BR,41.897995,https://chicago.craigslist.org/chc/apa/d/chicago-beautifully-spacious-two/6806661135.html,-87.629929,,Feb 26,6806661135,$2242,Beautifully Spacious Two-Bedroom Apartment in the Perfect City Locatio
717,1Ba,1BR,41.885889,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-luxury-1-bed-in-the/6828533473.html,-87.624474,"available may 1,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit",Feb 26,6828533473,$2222,Amazing LUXURY 1 bed in the LOOP for May 1 move!
,1Ba,2BR,41.923532,https://chicago.craigslist.org/chc/apa/d/chicago-2-bd-on-southport-modern/6828533510.html,-87.663554,,Feb 26,6828533510,$2200,"2 Bd on N. Southport, Modern Bathroom, High Ceiling, Dining Room"
375,1Ba,1BR,41.958695,https://chicago.craigslist.org/chc/apa/d/chicago-flexible-lease-terms-on-site/6824990671.html,-87.652130,apartment,Feb 26,6824990671,$1005,"Flexible lease terms, On-site management, Plush carpeting"
,1Ba,1BR,41.937932,https://chicago.craigslist.org/chc/apa/d/chicago-440-barry-in-lakeview-1bd-free/6828533639.html,-87.639754,,Feb 26,6828533639,$1380,"440 W Barry in Lakeview-1Bd, Free Heat&Cook Gas,Carpet&Laundry"
,1Ba,1BR,41.892300,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-highrise/6828533775.html,-87.637300,,Feb 26,6828533775,$1729,River North highrise
430,1Ba,0BR,,https://chicago.craigslist.org/chc/apa/d/studio-in-south-loop-luxury-highrise/6807454618.html,,"available mar 18,cats are OK - purrr,dogs are OK - wooof,apartment",Feb 26,6807454618,$1479,Studio in South Loop Luxury Highrise
,1Ba,2BR,41.920261,https://chicago.craigslist.org/chc/apa/d/chicago-newly-rehabbed-2-bedhw/6828533920.html,-87.639034,,Feb 26,6828533920,$1650,**NEWLY REHABBED 2 BED**HW FLOORS**GREAT LOCATION**
,1Ba,0BR,41.961932,https://chicago.craigslist.org/chc/apa/d/amazing-studio-north-lakeview-granite/6806208504.html,-87.652655,,Feb 26,6806208504,$1490,AMAZING STUDIO North Lakeview ~ Granite ~ SS ~ POOL ~ DOG FRIENDLY
,1Ba,1BR,41.939132,https://chicago.craigslist.org/chc/apa/d/chicago-750-briar-in-lakeview-1bd/6828534212.html,-87.649354,,Feb 26,6828534212,$1690,"750 W Briar in Lakeview-1bd Duplex,FP,Cent.Air,Laundry"
,1Ba,1BR,41.886932,https://chicago.craigslist.org/chc/apa/d/chicago-lakeshore-east-jr-1-bed-gr-ss-d/6828486894.html,-87.620552,,Feb 26,6828486894,$2384,"LAKESHORE EAST JR 1 BED - GR, SS, W/D, VIEWS, IN/OUT POOL, GYM, TRACK"
590,1Ba,0BR,41.907532,https://chicago.craigslist.org/chc/apa/d/chicago-lincoln-park-studio-available/6813765744.html,-87.648453,"available mar 14,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,no smoking,attached garage,wheelchair accessible",Feb 26,6813765744,$2061,Lincoln Park Studio - Available 3/14! 102
560,1Ba,0BR,41.961932,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-buena-park-studio-unit/6828534633.html,-87.652655,"available feb 26,cats are OK - purrr,dogs are OK - wooof,apartment,laundry in bldg",Feb 26,6828534633,$1335,Spacious Buena Park studio unit with floor-to-ceiling windows!
796,1Ba,1BR,41.922848,https://chicago.craigslist.org/chc/apa/d/chicago-incredible-corner-unit-steps/6828534656.html,-87.696918,"available apr 1,cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,no smoking,off-street parking,wheelchair accessible",Feb 26,6828534656,$2195,Incredible Corner Unit Steps From the Blue Line in Logan Square
,2Ba,2BR,41.954300,https://chicago.craigslist.org/chc/apa/d/chicago-2-bd-on-pine-grove-2-bath/6828534678.html,-87.657500,,Feb 26,6828534678,$1675,"2 Bd on Pine Grove, 2 Bath"
390,1Ba,0BR,41.801996,https://chicago.craigslist.org/chc/apa/d/chicago-close-to-freeway-ceiling-fan/6828534882.html,-87.595227,"cats are OK - purrr,dogs are OK - wooof,apartment,laundry in bldg,street parking",Feb 26,6828534882,$886,"Close to Freeway, Ceiling Fan, Near park and lake"
560,1Ba,0BR,41.961932,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-buena-park-studio-unit/6828535290.html,-87.652655,"available feb 26,cats are OK - purrr,dogs are OK - wooof,apartment,laundry in bldg",Feb 26,6828535290,$1335,Spacious Buena Park studio unit with floor-to-ceiling windows!
1000,1Ba,2BR,41.928754,https://chicago.craigslist.org/chc/apa/d/chicago-big-garden-2-bed-in-logan/6828535585.html,-87.700972,"available apr 1,cats are OK - purrr,apartment,w/d in unit,street parking",Feb 26,6828535585,$1895,Big Garden 2 Bed in Logan Square w/ In-Unit Laundry & New Kitchen!
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-large-1-bed-apartment-historic/6824660978.html,-87.624485,,Feb 26,6824660978,$1885,Large 1 Bed Apartment | Historic Michigan Ave Views
641,1Ba,1BR,41.871300,https://chicago.craigslist.org/chc/apa/d/south-loop-lovely-contemporary-one/6807453286.html,-87.627700,"available apr 6,cats are OK - purrr,dogs are OK - wooof,apartment",Feb 26,6807453286,$1710,SOUTH LOOP  /  Lovely Contemporary One Bedroom
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-prime-location-1-bedroom/6824662383.html,-87.624485,,Feb 26,6824662383,$1885,Prime Location | 1 Bedroom | Available 4/1
,1Ba,1BR,41.884529,https://chicago.craigslist.org/chc/apa/d/chicago-large-bedroom-in-this-furnished/6824662724.html,-87.624485,,Feb 26,6824662724,$2195,Large Bedroom in this Furnished 1 Bed!
