Date,title,bedrooms,price,neighborhood,has_map,has_pics
Feb 10,"FREE HEAT & GAS, small pets Ok_Separate kitchen _ Brown Line !!","
                    1br -
                ",$840, (Lincoln Square),map,"
                "
Feb 10,Lincoln Square - Gut Rehabbed 1 Bedroom / 1 Bathroom Apartment Home $1513,"
                    1br -
                ",$1513, (Lakeview),map,"
                    pic
                    "
Feb 10,Sunny Studio Close to Brown Line!,"
                    2br -
                ",$1238, (Lincoln Park),map,"
                "
Feb 10,Renovated Jr. 1-bed in Lincoln Park Heat  CG Inc Pets Ok,"
                    3br -
                    1669ft",$1430, (Lakeview East),map,"
                    pic
                    "
Feb 10,Renovated 1 bed just steps to the Lake and R-Line Access," -
                ",$1495, (North Center),map,"
                "
Feb 10,"Spacious, renovated 1 bed in North Center","
                    1br -
                ",$1450, (North Center),map,"
                    pic
                    "
Feb 10,"Spacious, renovated 1 bed in North Center","
                    1br -
                ",$1450, (Ukrainian Village),map,"
                "
Feb 10,Large Uk Village 2br  ** SS Apps ** DW ** Dining area ** HEAT INCLUDED,"
                    2br -
                ",$1500, (Dow),map,"
                    pic
                    "
Feb 10,Three bed room 3.5bath Place Dow,"
                    2br -
                ",$866, (Lakeview East),map,"
                "
Feb 10,Updated 1 bed just steps to the Lake! Laundry In UNIT,"
                    1br -
                ",$1495, (Lakeview East),map,"
                    pic
                    "
Feb 10,Reno 1 bed just steps to the Lake & R-Line W/D,"
                    1br -
                ",$1495, (Old Town),map,"
                "
Feb 10,"Beautiful renovated 2 bed/2bath Old Town, Pet Friendly!  MOVE IN ASAP!","
                    1br -
                ",$2275, (Roscoe Village),map,"
                    pic
                    "
Feb 10,"Renovated 2 bed with laundry in unit, Exposed Brick","
                    1br -
                ",$1995, (Lakeview East),map,"
                "
Feb 10,"Great STUDIO in East Lakeview,","
                    1br -
                ",$1050, (Lincoln Park),map,"
                    pic
                    "
Feb 10,Renovated 1-bed in Lincoln Park Inc Heat&CG ACTUAL PICS!,"
                    3br -
                ",$1620, (Lincoln Park),map,"
                "
Feb 10,Renovated 1-bed in Lincoln Park Inc Heat&CG ACTUAL PICS!,"
                    1br -
                ",$1620, (Lincoln Park),map,"
                    pic
                    "
Feb 10,Renovated Jr. 1-bed in Lincoln Park Heat  CG Inc Pets Ok,"
                    2br -
                ",$1430, (Ravenswood),map,"
                "
Feb 10,HUGE 1br + Den_ FREE HEAT & GAS_ porch_small pets Ok _ Brown Line !!,"
                    2br -
                ",$1300, (Lakeview),map,"
                    pic
                    "
Feb 10,NEW~BEAUTIFUL~STUNNING Lincoln Park Studio~In Unit~DW~Pets OK~B-line!,"
                    1br -
                ",$1238, (Lakeview East),map,"
                "
Feb 10,"1 bed just off Broadway, near Belmont Red/Purple/Brown","
                    2br -
                ",$1395, (Wrigleyville),map,"
                    pic
                    "
Feb 10,Vintage 1 bed just off of Addison Red Line in Wrigley,"
                    1br -
                ",$1230, (Wicker Park),map,"
                "
Feb 10,HUGE 3 bed 2 bath duplex - steps to Division Train Stop,"
                    3br -
                ",$2700, (Lincoln Square),map,"
                    pic
                    "
Feb 10,Lincoln Square - Gut Rehabbed 1 Bedroom / 1 Bathroom Apartment Home $1513,"
                    1br -
                ",$1513, (Logan Square),map,"
                "
Feb 10,New construction in Logan Square with laundry in unit,"
                    1br -
                ",$2600, (Lakeview),map,"
                    pic
                    "
Feb 10,Spacious 2 Bed/2bath in Lakeview (Southport Corridor),"
                    1br -
                ",$1770, (Lakeview),map,"
                "
Feb 10,"Great location, studio in Lakeview off Diversey Brown line","
                    1br -
                ",$920, (Lakeview),map,"
                    pic
                    "
Feb 10,BRAND NEW~Reno Lincoln Park Studio~B-Line~1 MONTH FREE!,"
                    2br -
                ",$1238, (Lakeview),map,"
                "
Feb 10,1 PLUS DEN w/ Laundry in Unit near Belmont R-B-P Line,"
                    1br -
                ",$1770, (Roscoe Village),map,"
                    pic
                    "
Feb 10,Renovated 2 bed with laundry in unit,"
                    4br -
                ",$1950, (Lakeview),map,"
                "
Feb 10,"Modern Rehabbed Wrigleyville 1 bed,  Red Line Access","
                    1br -
                ",$1595, (Lakeview East),map,"
                    pic
                    "
Feb 10,Huge apartment fully renovated in Lakeview East,"
                    3br -
                ",$2400, (Lincoln Park),map,"
                "
Feb 10,Renovated 1-bed in Lincoln Park Inc Heat&CG ACTUAL PICS!,"
                    3br -
                ",$1620, (Lakeview),map,"
                    pic
                    "
Feb 10,BRAND NEW - Renovated Lincoln Park Dream Studio - In Unit Laundry!,"
                    3br -
                ",$1238, (Lakeview East),map,"
                "
Feb 10,"Renovated E. Lakeview 1 bed w SS Apps, DW, HWF, Roof Deck, Pets OK","
                    2br -
                ",$1525, (Lakeview East),map,"
                    pic
                    "
Feb 10,Reno 1 bed just steps to the Lake & R-Line W/D,"
                    2br -
                ",$1495, (Lakeview East),map,"
                "
Feb 10,"Renovated Studio near the lake, SS APPS, DW  R Line","
                    1br -
                ",$1195, (Lincoln Park),map,"
                    pic
                    "
Feb 10,Renovated 1-bed in Lincoln Park Inc Heat&CG ACTUAL PICS!,"
                    2br -
                ",$1620, (Lincoln Park),map,"
                "
Feb 10,Renovated Lincoln Park Apt W/ HWF Near Brn Line,"
                    1br -
                ",$1750, (Lakeview East),map,"
                    pic
                    "
Feb 10,"Renovated Studio near the lake, SS APPS, DW  R Line","
                    5br -
                ",$1195, (Lincoln Park),map,"
                "
Feb 10,Renovated 1-bed in Lincoln Park Inc Heat&CG ACTUAL PICS!,"
                    1br -
                ",$1620, (North Suburbs),map,"
                    pic
                    "
Feb 10,"Evanston Apartment w/Laundry in unit, PETS OK","
                    1br -
                ",$2495, (East Rogers Park),map,"
                "
Feb 10,Large 1bd/1ba Steps To The Beach! Heat & Gas Included!,"
                    1br -
                ",$1025, (2009 S Laflin Street),map,"
                    pic
                    "
Feb 10,Pilsen Laflin/Cullerton   2009-1,"
                    1br -
                ",$2495, (2218 N Bissell St),map,"
                "
Feb 10,Lincoln Park 2218-2,"
                    1br -
                    781ft",$2795, (211 W St. Paul St),map,"
                    pic
                    "
Feb 10,Old Town Triangle St. Paul St/Well St 211-1," -
                ",$3595, (Uptown),map,"
                "
Feb 10,Uptown - 2 Bedroom / 1 Bath Apartment $1508,"
                    1br -
                ",$1508, (1432 W 21 Street),map,"
                    pic
                    "
Feb 10,Woodworking Lofts New Duplex Apartments in Pilsen 1432-122,"
                    1br -
                ",$2495, (Lakeview),map,"
                "
Feb 10,Renovated Lakeview 1 Bed With Laundry In Unit. Near Brown Line.,"
                    1br -
                ",$1775, (North Center),map,"
                    pic
                    "
Feb 10,Large Formal Dining Room! Large Windows! Deco Fireplace! Small Dogs Ok,"
                    1br -
                ",$1395, (Lakeview),map,"
                "
Feb 10,BRAND NEW - Renovated Lincoln Park 1 Bed - In Unit Laundry!,"
                    1br -
                ",$1535, (Lincoln Park),map,"
                    pic
                    "
Feb 10,Renovated studio in Lincoln Park w In Unit Laundry,"
                    1br -
                ",$1405, (Lakeview East),map,"
                "
Feb 10,East Lakeview studio near the Lake (Actual pics),"
                    1br -
                ",$1010, (Lakeview),map,"
                    pic
                    "
Feb 10,"Walk to Addison Red line, 5 Bed/3bath FULLY Renovated","
                    2br -
                ",$3600, (Lincoln Park),map,"
                "
Feb 10,Renovated 1 bedroom in Lincoln Park just off Clark St- Laundry in Unit,"
                    1br -
                ",$1725, (Lakeview East),map,"
                    pic
                    "
Feb 10,Large Renovated 1 bedroom in E Lakeview!,"
                    2br -
                    1000ft",$1350, (Lincoln Park),map,"
                "
Feb 10,Renovated studio in Lincoln Park- available now," -
                ",$1400, (Lakeview),map,"
                    pic
                    "
Feb 10,Large Renovated 1 bed in Courtyard building,"
                    2br -
                ",$1495, (Lakeview),map,"
                "
Feb 10,NEW!! NEW! NEW!~Reno Lincoln Park 1 Bed~W/D~HWF~DW~Pets OK~Must See!,"
                    1br -
                ",$1535, (Lakeview),map,"
                    pic
                    "
Feb 10,STUNNIN Renovated Lincoln Park Dream Studio - In Unit Laundry!,"
                    1br -
                ",$1260, (Lakeview),map,"
                "
Feb 10,BEAUTIFUL NEW Reno Lakeview Studio ~1 MONTH FREE~HWF~DW~PETS OK~,"
                    1br -
                ",$1215, (River West),map,"
                    pic
                    "
Feb 10,Wonderfully Updated 1 Bedroom in River West,"
                    1br -
                ",$2611, (Lakeview),map,"
                "
Feb 10,STUNNING UNIT! Lincoln Park Studio W/ LAUNDRY~B LINE!~ 1 MONTH FREE,"
                    1br -
                ",$1535, (Lakeview),map,"
                    pic
                    "
Feb 10,"Great studio right off Diversey, B- Line Access, Pets OK","
                    1br -
                ",$970, (Wrigleyville),map,"
                "
Feb 10,Beautiful Wrigleyville Apt Near R-B-P Line (Actual Pics),"
                    1br -
                ",$1350, (Jefferson Park),map,"
                    pic
                    "
Feb 10,Studio with FREE HEAT& GAS__ pets under 25lbs ok** 90 hgwy*!,"
                    1br -
                ",$720, (Lakeview),map,"
                "
Feb 10,BRAND NEW~Reno Lincoln Park Studio~B-Line~1 MONTH FREE!,"
                    3br -
                    1200ft",$1238, (Ravenswood),map,"
                    pic
                    "
Feb 10,Large Renovated studio in Ravenswood W/ Granite Kitchen Near Brn Line," -
                ",$1300, (Lakeview),map,"
                "
Feb 10,PETS OK~Lincoln Park Studio~W/D~DW~HWF~B-LINE~1 MONTH FREE ~CALL TODAY,"
                    1br -
                ",$1215, (Lakeview),map,"
                    pic
                    "
Feb 10,"Large, renovated 1 bed in Lakeview","
                    1br -
                ",$1320, (Lincoln Park),map,"
                "
Feb 10,Renovated studio in Lincoln Park w/ Heat  CG Inc.,"
                    1br -
                ",$1430, (Lakeview),map,"
                    pic
                    "
Feb 10,"Large, renovated 1 bed in Lakeview, Close to the R-B-P Line Pets OK","
                    1br -
                ",$1350, (Edgewater Beach),map,"
                "
Feb 10,Heat Included! Large Floorplan! New Bathroom! Parking Available! Ready,"
                    2br -
                ",$1095, (Edgewater Beach),map,"
                    pic
                    "
Feb 10,Heat & Cooking Gas Included! Steps To The Beach! Elevator Building!,"
                    1br -
                ",$1150, (Edgewater/East Rogers Park/Rogers Edge),map,"
                "
Feb 10,Large Living Room W/Deco Fireplace! Large Formal Dining Room! Ready!,"
                    3br -
                ",$1150, (East Rogers Park),map,"
                    pic
                    "
Feb 10,Affordable W/Easy Walk To The Loyola Redline! Hardwood Floors! Ready!,"
                    1br -
                ",$700, (Sheridan Park/Uptown),map,"
                "
Feb 10,Massive 2bd/2ba! Rehabbed! Pet Friendly! Walk To The Redline! Ready!,"
                    3br -
                ",$1495, (North Park),map,"
                    pic
                    "
Feb 10,Massive 1bd/1bd W/Formal Dining Room! Heat Included! Nice Kitchen!,"
                    1br -
                ",$1050, (Chicagoland),map,"
                "
Feb 10,Gut Rehab 2 Bed in Ravenswood w/ Granite & Stainless Steel! No Deposit,"
                    2br -
                    695ft",$1450, (Chicago - Ravenswood),map,"
                    pic
                    "
Feb 10,1 Bed Rehab with Heat Included in Ravenswood!," -
                ",$1395, (Chicago - Ravenswood),map,"
                "
Feb 10,Rehabbed 1 Bed - Great Ravenswood Location!,"
                    1br -
                    830ft",$1250, (Chicago - Ravenswood),map,"
                    pic
                    "
Feb 10,Mind Bending Ravenswood 1 Bed Rehab! AND Free Heat!," -
                ",$1195, (Chicago - Ravenswood),map,"
                "
Feb 10,Rehabbed 2 Bed w/ Central Air - right off Southport Corridor!,"
                    1br -
                    660ft",$1750, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,Modern Kit & Bath in Cozy 1 Bed w/ Central Air -  Leland & Campbell," -
                ",$1350, (Chicago - Ravenswood),map,"
                "
Feb 10,Large vintage 3BR next to Loyola Redline / 5 min walk to Loyola Campus,"
                    1br -
                    475ft",$1595, (Loyola Area / Rogers Park),map,"
                    pic
                    "
Feb 10,Big 2 Bedroom w/ updated Kit & Bath - Corner of  Racine & Wrightwood!," -
                ",$1750, (Chicago - Lincoln Park),map,"
                "
Feb 10,"Logan Square Ground Level 2 Bed REHAB w/ washer/dryer, LR,DR (now!)","
                    2br -
                    1075ft",$1875, (Chicago - Logan Square),map,"
                    pic
                    "
Feb 10,Gut Rehab 2 Bed in Ravenswood w/ Granite & Stainless Steel! No Deposit," -
                ",$1450, (Chicago - Ravenswood),map,"
                "
Feb 10,Modern 1 Bedroom w/ In-Unit Washer Dryer & Central AC,"
                    1br -
                    475ft",$1675, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,2BR HUGE Oakley 2 Bed w/ Living Room & Dining room - Heat Inc!," -
                ",$1350, (Chicago - Lincoln Square),map,"
                "
Feb 10,"Top Floor Rehab 1 Bed w/ WD, Central Air- off Southport Corridor","
                    3br -
                ",$1750, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,"Top FL condo grade 2 bed w/ central air, in unit laundry on Southport","
                    2br -
                    910ft",$2225, (Chicago - Lakeview),map,"
                "
Feb 10,MODERN WICKER PARK LOFT 2BD/2BTH! CENTRAL AIR and IN-UNIT W/D," -
                ",$2500, (Chicago - Bucktown),map,"
                    pic
                    "
Feb 10,"LARGE 1 Bed w/ Eat in kitchen, DW and Free Heat!","
                    2br -
                    1310ft",$1250, (Chicago - Ravenswood),map,"
                "
Feb 10,North Center - Updated Apartment - Rehab 2 Bed w/ FREE HEAT!," -
                ",$1595, (Chicago - North Center),map,"
                    pic
                    "
Feb 10,"Laundry In-Unit, Central air, Modern  Top Floor 1 Bed - Ravenswood","
                    2br -
                    695ft",$1690, (Chicago - Ravenswood),map,"
                "
Feb 10,Amazing Fulton River District 2 Bedroom," -
                ",$3299, (Fulton River District),map,"
                    pic
                    "
Feb 10,4BR/2BA by Loyola Campus / Loyola Red Line!  Free heat,"
                    1br -
                    553ft",$1795, (Rogers Park / Loyola Area),map,"
                "
Feb 10,Spacious  two Room Studio - Lincoln Park w/ Free Heat," -
                ",$1195, (Chicago - Lincoln Park),map,"
                    pic
                    "
Feb 10,Updated Garden 3 Bed & 2 Bath w/ FREE HEAT! Pine Grove,"
                    2br -
                    1065ft",$1895, (Chicago - Lakeview),map,"
                "
Feb 10,Top Floor Wrigley 1 Bed - Condo Quality w/ WD in-unit & Central Air," -
                ",$1595, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,Ground Level Updated Two Bed @ Pine Grove & Irving Park,"
                    1br -
                    734ft",$1675, (Chicago - Lakeview),map,"
                "
Feb 10,Modern 2 Bed w/ W/D In-Unit & Central Air @ Nelson & Damen," -
                ",$1950, (Chicago - Roscoe Village),map,"
                    pic
                    "
Feb 10,REHAB Studio w/ great upgrades @ Clark & Surf!,"
                    2br -
                    825ft",$1250, (Chicago - Lakeview),map,"
                "
Feb 10,Heated Cozy Avalon Park One Bedroom { $375 Move-In Fee }," -
                ",$700, (82nd Woodlawn),map,"
                    pic
                    "
Feb 10,REHAB Studio Close to Lake w FREE HEAT!,"
                    2br -
                    1275ft",$1075, (Chicago - Lakeview),map,"
                "
Feb 10,Big Vintage 2-Room Studio w/ Free Heat and Great Space!," -
                ",$1125, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,2 Bedroom in Oak Park close to CTA and OPRF High School,"
                    1br -
                    720ft",$1550, (Oak Park),map,"
                "
Feb 10,Big 1 Bed w/ NEW Bath & HUGE eat-in Kitchen @ Wolcott & Winnemac," -
                ",$1195, (Chicago - Ravenswood),map,"
                    pic
                    "
Feb 10,Big East Lakeview Vintage 1 Bed w/ Great Space,"
                    2br -
                    875ft",$1295, (Chicago - Lakeview),map,"
                "
Feb 10,Updated 1 Bed w/ Central Air @ Ainslie & Seeley," -
                ",$1350, (Chicago - Ravenswood),map,"
                    pic
                    "
Feb 10,Large Convertible 2 room Studio - HEAT INCLUDED!,"
                    1br -
                    716ft",$1195, (Chicago - Lincoln Park),map,"
                "
Feb 10,Cozy 1 Bed w/ Modern Kit & Bath - Central Air @ Leland & Campbell," -
                ",$1375, (Chicago - Ravenswood),map,"
                    pic
                    "
Feb 10,Spacious Studio = The Home You've Always Wanted - ½ Block To Lake!,"
                    2br -
                    1111ft",$1050, (Addison and Sheridan),map,"
                "
Feb 10,Affordable Ravenswood 1 bedroom!," -
                ",$1250, (Chicago - Ravenswood),map,"
                    pic
                    "
Feb 10,1 Bed Rehab with Heat Included in Ravenswood!,"
                    4br -
                ",$1395, (Chicago - Ravenswood),map,"
                "
Feb 10,Beautiful Modern Rehabbed 1 Bed Coach House in Wrigleyville!,"
                    540ft",$1650, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,Top Floor Coach House unit in Heart of Lakeview," -
                ",$1990, (Chicago - Lakeview),map,"
                "
Feb 10,REHAB 1 Bed Garden Apartment @ Foster & Damen - Heat Inc!,"
                    3br -
                    1235ft",$1075, (Chicago - Ravenswood),map,"
                    pic
                    "
Feb 10,AMAZING BUILDING + PET FRIENDLY!!," -
                ",$1850, (Chicago),map,"
                "
Feb 10,Large Vintage Studio in Lakeview w/ Tons of Space & Free Heat!,"
                    1br -
                    585ft",$1035, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,REHAB Studio w/ great upgrades @ Clark & Surf!," -
                ",$1225, (Chicago - Lakeview),map,"
                "
Feb 10,Vintage Garden 2 Bed on Quiet Tree Lined Street @ Racine & Barry,"
                    2br -
                    835ft",$1495, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,"Norridge Townhouse: 3BR, 1.5 Bath, Basement, 3 parking spaces"," -
                ",$1650, (Chicago - Lakeview),map,"
                "
Feb 10,Modern 1 Bed w/ Central AC in Wrigleyville!!,"
                    2br -
                    740ft",$1625, (4651 N. Wolcott),map,"
                    pic
                    "
Feb 10,New Gut Rehab 2 Bed w/ In-Unit Laundry & No Deposit!," -
                ",$1895, (5000 W. Huron),map,"
                "
Feb 10,South Austin Updated 1st Floor On Huron,"
                    385ft",$1100, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,To Floor Wrigley 1 Bed - Condo Quality w/ WD in-unit & Central Air," -
                ",$1595, (Chicago - Ravenswood),map,"
                "
Feb 10,Spacious Ravenswood Rehab 2 Bed w/ WD In-Unit & FREE Heat,"
                    1br -
                ",$1995, (Chicago - Edgewater),map,"
                    pic
                    "
Feb 10,Nice sized Edgewater Studio w/ FREE HEAT!,"
                    435ft",$850, (Chicago),map,"
                "
Feb 10,MODERN+DOGS ALLOWED+EAST ROGERS PARK!!," -
                ",$1350, (Chicago - Lincoln Park),map,"
                    pic
                    "
Feb 10,"2 Bd on West Lill Ave., Modern Bath, Close to EL, Near Bus Lines","
                    482ft",$2400, (Chicago - Lincoln Park),map,"
                "
Feb 10,2 Bed 2 Bath New Con w/ WD in Unit on Southport!," -
                ",$3200, (Chicago - Lincoln Park),map,"
                    pic
                    "
Feb 10,Top Floor 2 BD / 2 BA New Const w/ Roof Deck on Southport!,"
                    2br -
                    1600ft",$3500, (Chicago - Lincoln Park),map,"
                "
Feb 10,NEW 2 Bed / 2 Bath w/ All the Modern Amenities - Wayne & Diversey," -
                ",$2695, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,Updated 1 Bed w/ Free Heat - Upper Lakeview Living,"
                    1br -
                    812ft",$1295, (Chicago - Ravenswood),map,"
                "
Feb 10,Gut Rehab 2 Bed in Ravenswood w/ Granite & Stainless Steel! No Deposit," -
                ",$1450, (Chicago - Lincoln Park),map,"
                    "
Feb 10,NEW 2 Bed / 2 Bath w/ All the Modern Amenities - Wayne & Diversey,"
                    1br -
                    675ft",$2750, (Chicago - Lakeview),map,"
                "
Feb 10,Modern 1 Bedroom w/ In-Unit Washer Dryer & Central AC," -
                ",$1650, (62nd Street),map,"
                    pic
                    "
Feb 10,Lovely Marquette Park One Bedroom Off Washtenaw { $375 MIF },"
                    1br -
                    760ft",$800, (Chicago),map,"
                "
Feb 10,PET FRIENDLY+REHABBED+HEAT INCLUDED!!," -
                ",$1250, (Oak Park),map,"
                    pic
                    "
Feb 10,"Two bedroom apartment; Berwyn, Oak Park, River Forest, Elmwood Park","
                    510ft",$1550, (Chicago),map,"
                "
Feb 10,GORGEOUS+REHABBED+CENTRAL HEAT+PET-FRIENDLY!!," -
                ",$1650, (Chicago),map,"
                    pic
                    "
Feb 10,AVAILABLE NOW!! LAUNDRY IN-UNIT!! JARVIS SQUARE!!,"
                    1br -
                    475ft",$1595, (Oak Park),map,"
                "
Feb 10,"Norridge Townhouse: 3BR, 1.5 Bath, Basement, 3 parking spaces"," -
                ",$1650, (Logan Square),map,"
                    pic
                    "
Feb 10,"Two bedroom apartment; Berwyn, Oak Park, River Forest, Elmwood Park","
                    1br -
                    995ft",$1550, (Logan Square 1725 N. Albany),map,"
                "
Feb 10,Oversizsed 2 Bed 1 Bath W/Parking $1595 - 1651 N Spaulding," -
                ",$1595, (OAK PARK),map,"
                    pic
                    "
Feb 10,$1695 2BR Sunny Logan High 1st Floor Apt w/Parking Inc.,"
                    1br -
                    830ft",$1695, (Logan Square - 1725 N. Albany),map,"
                "
Feb 10,LARGE VINTAGE 2 BEDROOM IN OAK PARK," -
                ",$1550, (71st Street),map,"
                    pic
                    "
Feb 10,Sunny Logan Square Top Floor 1 Bedroom Plus Office W/Parking,"
                    1br -
                    632ft",$1495, (66th Vernon Ave.),map,"
                "
Feb 10,Beautifully Upgraded South Shore Constance Residence," -
                ",$700, (Uptown),map,"
                    pic
                    "
Feb 10,"On-site management, Black Whirlpool appliances, Gas range","
                    2br -
                    809ft",$1223, (90th Aberdeen),map,"
                "
Feb 10,East Woodlawn Two bedroom Condo Quality Apartment," -
                ",$1000, (600/700 North Hamlin),map,"
                    pic
                    "
Feb 10,Breathtaking 1 Bedroom in Uptown,"
                    1br -
                    710ft",$1310, (68th Michigan),map,"
                "
Feb 10,Great Brainerd Area Studio Apartment { Heat Included }," -
                ",$675, (68th Michigan),map,"
                    pic
                    "
Feb 10,North Hamlin Humboldt Park Large Four Bedroom,"
                    2br -
                ",$1550, (Chicago - Ravenswood),map,"
                "
Feb 10,Bargain Park Manor Studio Apartment Ready { Heat Included },"
                    478ft",$575, (Wrigleyville / Southport Corridor),map,"
                    pic
                    "
Feb 10,Bargain Park Manor Studio Apartment Ready { Heat Included }," -
                ",$575, (71st Street),map,"
                "
Feb 10,Lovely Rehabbed 2 Bedroom w/ WD In-Unit & FREE Heat,"
                    385ft",$1895, (Chicago),map,"
                    pic
                    "
Feb 10,"May 1st ~ Huge Wrigley studio that feels a lot like a 1BR! Deck, Yard."," -
                ",$1175, (600/700 North Hamlin),map,"
                "
Feb 10,Beautifully Upgraded South Shore Constance Residence,"
                    2br -
                    740ft",$700, (66th Vernon Ave.),map,"
                    pic
                    "
Feb 10,Clean Essex One Bedroom Apartment Available { $350 Move-In Fee }," -
                ",$600, (Off 91st Manistee),map,"
                "
Feb 10,Updated 2 Bedroom In Logan Square; In-Unit Laundry!!,"
                    3br -
                    1200ft",$1895, (Chicago - Ukrainian Village),map,"
                    pic
                    "
Feb 10,North Hamlin Humboldt Park Large Four Bedroom," -
                ",$1550, (Little Village / Pilsen),map,"
                "
Feb 10,East Woodlawn Two bedroom Condo Quality Apartment,"
                    1br -
                    585ft",$1000, (South Loop),map,"
                    pic
                    "
Feb 10,Calumet Heights Coach Home Ready Near Trinity Hospital," -
                ",$1100, (Chicago - Logan Square),map,"
                "
Feb 10,Large 3 Bed 2 Bath In Ukrainian Village; Pets OK; Parking Available!!,"
                    2br -
                    1105ft",$1950, (Chicago - Logan Square),map,"
                    pic
                    "
Feb 10,2215 S Albany***Clean Apartment** Walk to CTA train Station," -
                ",$850, (Irving Park/ Avondale),map,"
                "
Feb 10,"0 BD and 1BA, Large walk-in closets, Bike storage","
                    2br -
                ",$1494, (Chicago - Lakeview),map,"
                    pic
                    "
Feb 10,Pet Friendly 2 Bedroom Near Logan Square Blue Line!!!,"
                    1br -
                    585ft",$1995, (Irving Park/ Avondale),map,"
                "
Feb 10,Updated 3 Bedroom In Logan Square; In-Unit Laundry!!!," -
                ",$2295, (Gold Coast),map,"
                    pic
                    "
Feb 10,3 Bedroom in Irving Park,"
                    2br -
                    965ft",$1600, (Rawenswood),map,"
                "
Feb 10,HEAT INCLUDED_1br 1 bath_ small pets OK__90/ 94 and Blue L!!," -
                ",$880, (North Center),map,"
                    pic
                    "
Feb 10,Updated 2 Bed 2 Bath near Belmont Red Line; In-Unit  Laundry!! Pets OK,"
                    430ft",$2295, (BELMONT AND ELSTON),map,"
                "
Feb 10,"0 bd + 1 ba, Private theater, 9'6"" ceilings"," -
                ",$2166," (KENMORE AND CATALPA, EDGEWATER)",map,"
                    pic
                    "
Feb 10,HEAT INCLUDED_ porch_dining area_ small pets OK_ 90/ 94 and Blue L!!,"
                    2br -
                ",$780, (SouthLoop),map,"
                "
Feb 10,Prime 1 Bedroom in Gold Coast,"
                    2br -
                    1085ft",$1750, (BROADWAY AND STRATFORD),map,"
                    pic
                    "
Feb 10,FREE HEAT & GAS_small pets Ok_1 br LOFT_deck_Brown L," -
                ",$940, (Chicago - Gold Coast),map,"
                "
